ID;Aktywny(0 lub 1);Nazwa *;Kategoria nadrzędna;Główna kategoria(0 / 1);Opis;Meta - tytuł;Słowa kluczowe meta;Opis meta;Przepisany URL;URL zdjęcia;ID / Nazwa sklepu
;1;T-shirty i koszulki polo;;0;"Giga fajne T-shirty i koszulki polo!
Bardzo polecamy i zachęcamy do zakupu!";;;;;;
;1;Koszule;;0;"Giga fajne Koszule!
Bardzo polecamy i zachęcamy do zakupu!";;;;;;
;1;Bluzy;;0;"Giga fajne Bluzy!
Bardzo polecamy i zachęcamy do zakupu!";;;;;;
;1;Jeansy;;0;"Giga fajne Jeansy!
Bardzo polecamy i zachęcamy do zakupu!";;;;;;
;1;Spodnie;;0;"Giga fajne Spodnie!
Bardzo polecamy i zachęcamy do zakupu!";;;;;;
