ID;Aktywny(0 lub 1);Nazwa *;Kategoria nadrzędna;Główna kategoria(0 / 1);Opis;Meta - tytuł;Słowa kluczowe meta;Opis meta;Przepisany URL;URL zdjęcia;ID / Nazwa sklepu
;1;T-shirty i koszulki polo;;0;Opis kategorii - jakiś będzie trzeba wymyślić, bo nie ma na Zalando;;;;;;
;1;Koszule;;0;Opis kategorii - jakiś będzie trzeba wymyślić, bo nie ma na Zalando;;;;;;
;1;Bluzy;;0;Opis kategorii - jakiś będzie trzeba wymyślić, bo nie ma na Zalando;;;;;;
;1;Jeansy;;0;Opis kategorii - jakiś będzie trzeba wymyślić, bo nie ma na Zalando;;;;;;
;1;Spodnie;;0;Opis kategorii - jakiś będzie trzeba wymyślić, bo nie ma na Zalando;;;;;;
