ID;Aktywny(0 lub 1);Nazwa *;Opis;Krótki opis;Meta - tytuł;Słowa kluczowe meta;Opis meta;URL zdjęcia;ID / Nazwa sklepu grupy
30;1;Urban Classics;Super marka Urban Classics;;;;;https://img01.ztat.net/article/spp-media-p1/9f23be05e53d412bad10005e0bb46664/0d730d57066a4c5d866baf4bae4a9063.jpg?imwidth=300;
31;1;Next;Super marka Next;;;;;https://img01.ztat.net/article/spp-media-p1/6b1a5e1e5a2c4ebd92945f5be802f73f/9ad5a413001f4eeeb6ace67037c511f4.jpg?imwidth=300;
32;1;Brave Soul;Super marka Brave Soul;;;;;https://img01.ztat.net/article/spp-media-p1/bb2901c356a44b9986da9883d164fd97/cfdd8ce89f574c8f83e8b2a7d3a0d028.jpg?imwidth=300;
33;1;Reebok Classic;Super marka Reebok Classic;;;;;https://img01.ztat.net/article/spp-media-p1/19cdb7c212764cdcb9d5efde86134a32/4c34dcbb9085484d808657a58fdfb5c0.jpg?imwidth=300&filter=packshot;
34;1;Weekday;Super marka Weekday;;;;;https://img01.ztat.net/article/spp-media-p1/90a9033087ed3ca88a4c3df6bc4087eb/144ba2dc6fa74d008807a21b396690c4.jpg?imwidth=300;
35;1;Big Star;Super marka Big Star;;;;;https://img01.ztat.net/article/spp-media-p1/48c2599ebe9a4fffb8f96c3795dbeb21/e6f26cf51ad04b91bae73f42eaa0797f.jpg?imwidth=300;
36;1;Bytom;Super marka Bytom;;;;;https://img01.ztat.net/article/spp-media-p1/5c2a4eaf3a464557bce30c2557f5e60a/5d7fc19dddd043cf85b6fb4ef6c49c16.jpg?imwidth=300;
37;1;BONOBO Jeans;Super marka BONOBO Jeans;;;;;https://img01.ztat.net/article/spp-media-p1/4ebcf3efd56b4754a4f83dc9d47bacb2/ed17cb8dcaca46e8a21369a36a3ab8d1.jpg?imwidth=300;
38;1;Reebok;Super marka Reebok;;;;;https://img01.ztat.net/article/spp-media-p1/c43d46175b3346338f1df385e08e8ec6/7bf1f212d12e4d22aa5f116be2aaff55.jpg?imwidth=300;
39;1;Mustang;Super marka Mustang;;;;;https://img01.ztat.net/article/spp-media-p1/16f3e30cda7547d488d5accec5700c0b/3c92b67cc8e648b0befaf62d06e521b2.jpg?imwidth=300;
40;1;Koroshi;Super marka Koroshi;;;;;https://img01.ztat.net/article/spp-media-p1/a6ac83962fa946ed8b863b73e1656f31/48fa3570b0c040d0bd84dff2aa034f95.jpg?imwidth=300;
41;1;Tommy Hilfiger;Super marka Tommy Hilfiger;;;;;https://img01.ztat.net/article/spp-media-p1/cba2c925a0744db2805da181ef08729d/4b5536f585fa41daaecdd33931f469bb.jpg?imwidth=300;
42;1;adidas Originals;Super marka adidas Originals;;;;;https://img01.ztat.net/article/spp-media-p1/6fce9f15c9723b7ba7d64452caa76ad7/df70c8cd3b734cc88fd52ddb2e97f5e8.jpg?imwidth=300&filter=packshot;
43;1;YOURTURN;Super marka YOURTURN;;;;;https://img01.ztat.net/article/spp-media-p1/e97c960fdc044630b786576ebf35fddf/8bf6a37716c54a2ba4460fd198a2726b.jpg?imwidth=300&filter=packshot;
44;1;VISTULA;Super marka VISTULA;;;;;https://img01.ztat.net/article/spp-media-p1/c7b57539e6374018a772c43673a96ac2/0bc1895cb75a49cfafb9ad60ed063882.jpg?imwidth=300;
45;1;TOM TAILOR DENIM;Super marka TOM TAILOR DENIM;;;;;https://img01.ztat.net/article/spp-media-p1/4c047ac3abb03a989030ddddbd4ca0f2/e0381134072a42acbfe715a498685383.jpg?imwidth=300;
46;1;DeFacto;Super marka DeFacto;;;;;https://img01.ztat.net/article/spp-media-p1/158fa9f743ad4bb5b173ad6bebee03c7/af412558ea73477c9915b79bd01e2c66.jpg?imwidth=300;
47;1;Solid;Super marka Solid;;;;;https://img01.ztat.net/article/spp-media-p1/32873826ba4a3ad789041412397898a5/632b0cc33fcf4c65a7fa109bce17ba79.jpg?imwidth=300;
48;1;Only & Sons;Super marka Only & Sons;;;;;https://img01.ztat.net/article/spp-media-p1/78b5272368c53e22b2bd017e8621f244/ecc0e6f646d843958458aac23afda11d.jpg?imwidth=300&filter=packshot;
49;1;River Island;Super marka River Island;;;;;https://img01.ztat.net/article/spp-media-p1/0f0e484b2d1f4582b86cebc750844ac8/51324f00d64449858083d48a1d25283e.jpg?imwidth=300;
50;1;Pako Lorente;Super marka Pako Lorente;;;;;https://img01.ztat.net/article/spp-media-p1/ad007425f0cc400e9ac33bce9d2250bb/8ae32a4801e04f1888efeb256baf4bc7.jpg?imwidth=300;
51;1;Massimo Dutti;Super marka Massimo Dutti;;;;;https://img01.ztat.net/article/spp-media-p1/38a6045e6a814c14ad2ae8f470bd7b41/5d140d8133184c3fba066ebd24460f38.jpg?imwidth=300&filter=packshot;
52;1;Sir Raymond Tailor;Super marka Sir Raymond Tailor;;;;;https://img01.ztat.net/article/spp-media-p1/c2fcbe3f2dfa4fdf93fe5936e236c2f0/fb60ed59f6ba4cd9af761f4c7ca58e40.jpg?imwidth=300&filter=packshot;
53;1;Threadbare;Super marka Threadbare;;;;;https://img01.ztat.net/article/spp-media-p1/1de645a06ec54cbc8a47b0d14627da78/af3ac427352e45e69ae41fce7546824b.jpg?imwidth=300;
54;1;Polo Ralph Lauren Big & Tall;Super marka Polo Ralph Lauren Big & Tall;;;;;https://img01.ztat.net/article/spp-media-p1/25e98f23d09a4765960e83cd79d05c0f/d9515b538951490aaa6b13843df5aa2f.jpg?imwidth=300&filter=packshot;
55;1;Redefined Rebel;Super marka Redefined Rebel;;;;;https://img01.ztat.net/article/spp-media-p1/42a8c6e7b50e42e88ac2e0e78a7ca45e/ffc03215931f4948b1a6afecb8f96a45.jpg?imwidth=300;
56;1;WÓLCZANKA;Super marka WÓLCZANKA;;;;;https://img01.ztat.net/article/spp-media-p1/3066334050e247898b51a4138803a827/b66ed5d5f09d4f24be164530d2898e36.jpg?imwidth=300;
57;1;Twisted Tailor;Super marka Twisted Tailor;;;;;https://img01.ztat.net/article/spp-media-p1/f6e4ae0484233f17bf6f08c3293311d2/61b254036b114e21b1dc0447ab6e60a3.jpg?imwidth=300;
58;1;FINSHLEY & HARDING;Super marka FINSHLEY & HARDING;;;;;https://img01.ztat.net/article/spp-media-p1/794ec6eea3164679be6c52b41c9e93e1/98aba8808966404aab691d0a65cb51d1.jpg?imwidth=300;
59;1;Lancerto;Super marka Lancerto;;;;;https://img01.ztat.net/article/spp-media-p1/1cfd2813d47046af9b56b16693628cb0/40ec4e4f16354cc3a0fddf95440638d9.jpg?imwidth=300;
60;1;Denim Project;Super marka Denim Project;;;;;https://img01.ztat.net/article/spp-media-p1/481d64c8c24d4590887ed4709f15c050/1d9f97a788624459963e38068d5585ba.jpg?imwidth=300;
61;1;TATUUM;Super marka TATUUM;;;;;https://img01.ztat.net/article/spp-media-p1/a80300dbaf524ab4ae57c429d348e051/eb0ba52f6d814890aceb4a6f147d3965.jpg?imwidth=300;
62;1;Selected Homme;Super marka Selected Homme;;;;;https://img01.ztat.net/article/spp-media-p1/30fb1cda091b3df492df30dad828a729/f188b27d846b48dba8e31ee39c3c3e06.jpg?imwidth=300;
63;1;Lauren Ralph Lauren;Super marka Lauren Ralph Lauren;;;;;https://img01.ztat.net/article/spp-media-p1/43568f1122e64cea935d0d876fb2c05f/93e96c2ccb39404f9ab6fdcd8d0cf791.jpg?imwidth=300;
64;1;Calvin Klein Tailored;Super marka Calvin Klein Tailored;;;;;https://img01.ztat.net/article/spp-media-p1/4bcce8a4efd64a07a8e8526699ea239f/29ece615a99945c4aecf09a8ff551130.jpg?imwidth=300&filter=packshot;
65;1;Jack & Jones PREMIUM;Super marka Jack & Jones PREMIUM;;;;;https://img01.ztat.net/article/spp-media-p1/65cb307198654996811a458df5622d55/96657dfe216b45c4adcb5cc23053fde7.jpg?imwidth=300&filter=packshot;
